device,fullVisitorId,visitId,transactions,revenue_usd
desktop,0463325773564352787,1485471506,1,44.79
desktop,4734664452187566278,1485222490,1,44.79
desktop,0567258049821128407,1483809967,1,44.79
desktop,9963131995239003867,1485275486,1,44.77
desktop,6821649352225770256,1483462079,1,44.75
desktop,2017847299139936256,1485381477,1,44.0
desktop,8100631432407926233,1483646449,1,43.98
desktop,4821028877021679125,1485878576,1,43.98
desktop,8410351216723895628,1483670611,1,43.97
desktop,0308396243566145332,1484843363,1,43.96
desktop,7091796288058306768,1485541395,1,43.18
desktop,6701329268278625221,1483978416,1,43.16
desktop,2198879349250618795,1484361694,1,43.14
desktop,8022178122812724446,1483973961,1,43.1
desktop,589243891238071459,1484021765,1,42.48
desktop,5779647444057786360,1485373505,1,42.37
desktop,8004196057645719276,1483477518,1,42.37
desktop,1390764594937000351,1483725016,1,42.36
desktop,1685233972617661487,1485764399,1,41.98
desktop,8130587090166604598,1483672878,1,41.59
desktop,8284311607531582308,1483659702,1,41.59
desktop,0334916383849466701,1484262900,1,41.59
desktop,6136082397319101415,1484964400,1,41.59
desktop,7861268750444370687,1485056607,1,41.56
desktop,4293807246358895318,1484795370,1,40.77
desktop,2443130648849063586,1484930136,1,40.77
desktop,0152778576197288117,1485840660,1,39.99
desktop,7813149961404844386,1484075970,1,39.99
desktop,0776257183737046172,1484354873,1,39.99
desktop,9002953633143515508,1485891964,1,39.97
desktop,1232482218170292968,1484102061,1,39.47
desktop,6007068566943538173,1483647212,1,39.17
desktop,0060873674881142784,1484258736,1,39.17
desktop,3136171791619750824,1484793371,1,39.14
desktop,79867210646960655,1484658087,1,38.98
desktop,1531412460891558131,1483403119,1,38.98
desktop,011223364686614335,1485789961,1,38.97
desktop,3972031438204538458,1485457608,1,38.35
desktop,1029323150011228171,1485903008,1,38.28
desktop,5701006754406166040,1483351395,1,37.98
desktop,2265703789548596461,1483295231,1,37.57
desktop,3118941601870086725,1484712229,1,36.78
desktop,0460590127025597143,1484317916,1,36.0
desktop,3769216008640439142,1484719700,1,35.98
desktop,0210797287974741332,1483636028,1,35.97
desktop,7637583730181533171,1485205643,1,35.97
desktop,3085716023208993484,1485559765,1,35.89
desktop,6005846941999724552,1483951382,1,35.18
desktop,7298336494740484350,1483765055,1,35.16
desktop,1496770085953274945,1485194990,1,34.99
desktop,8284519161511719385,1484687269,1,34.98
desktop,1758403603414007957,1484861448,1,34.49
desktop,0085057281729508802,1483421832,1,34.37
desktop,4846439934286422830,1484268703,1,33.96
desktop,0733757037931594916,1484702501,1,33.56
desktop,6505695980027180429,1483647945,1,33.17
desktop,9633718916074132320,1483830613,1,32.96
desktop,9077649148974613765,1485812515,1,32.78
desktop,173863901552294318,1484256466,1,32.76
desktop,4985703629807810187,1485474927,1,31.98
desktop,0652686133169550028,1485201894,1,31.98
desktop,5216258683347805755,1484797317,1,31.97
desktop,4434546824564001977,1483835453,1,31.97
desktop,5426533618446479401,1484957767,1,31.18
desktop,7908882748835077246,1484865190,1,31.18
desktop,9981562221973608723,1483576938,1,30.75
desktop,8946514554986669717,1485446384,1,30.72
desktop,3841458002774357152,1485749109,1,30.39
desktop,1702474213534153249,1483413876,1,30.39
desktop,4647505914839180188,1485917091,1,30.39
desktop,1627208831212925916,1485477973,1,30.39
desktop,62722204677243801,1485456962,1,30.39
desktop,1639589047263376521,1484259363,1,30.38
desktop,4426059530155526122,1483855314,1,30.38
desktop,9535165767399175841,1483923585,1,30.38
desktop,6417028332559300792,1485547951,1,29.98
desktop,3404435547562826616,1485894835,1,29.98
desktop,054391506396728030,1485194006,1,29.9
desktop,9715183070192673688,1485798804,1,29.58
desktop,2332536676601903155,1483992301,1,28.98
desktop,6620224985350113488,1485188835,1,28.98
desktop,5506432627540376379,1483764172,1,28.9
desktop,3239121026206302364,1484076476,1,28.78
desktop,738451259641127092,1485213821,1,28.78
desktop,0024725579067754075,1483638411,1,28.76
desktop,5181406124249294849,1485623355,1,27.98
desktop,7708630394810651470,1483377733,1,27.97
desktop,6836107306781208493,1483737767,1,27.96
desktop,8668902316036611419,1485288191,1,27.85
desktop,840275515214055415,1483382120,1,27.19
desktop,0689221493301196449,1483496326,1,27.19
desktop,1336922403988607259,1483989371,1,27.18
desktop,0744307603598668939,1484766245,2,27.18
desktop,1004387731868322508,1485132761,1,27.18
desktop,9332976968342857288,1484166595,1,27.18
desktop,8918875846126233398,1485198154,1,27.18
desktop,528933380496819911,1483466900,1,27.18
desktop,0845988907408723108,1485650294,1,26.98
desktop,6843737679875735650,1484193628,1,26.98
desktop,4605732283887224691,1484073326,1,26.37
desktop,8986179509991315962,1484943301,1,26.37
desktop,2002941584451367020,1484944068,2,26.31
desktop,2859330575716176857,1483642131,1,25.98
desktop,7243174500774931832,1483317147,1,25.98
desktop,9332559619940886845,1483468471,1,25.54
desktop,2607736667163691156,1485797667,1,25.48
desktop,2620614855835258214,1485798049,1,25.47
desktop,7634897085866546110,1483641292,1,25.0
desktop,3515453378186105003,1484799312,1,24.99
desktop,9205496322274361632,1483380012,1,24.99
desktop,4290831302541966980,1485456771,1,24.99
desktop,9293575840819435961,1484925366,1,24.99
desktop,6759210140407313473,1484926947,1,24.99
desktop,6273454334466338652,1484346211,1,24.99
desktop,9015377887977642612,1484683824,1,24.47
desktop,2107066728400193912,1483674920,1,23.99
desktop,61892085087294527,1485884382,1,23.99
desktop,2829963874275041366,1483986968,1,23.98
desktop,5368975563333608262,1485868344,1,23.97
desktop,9894656893993782511,1485404785,1,23.95
desktop,7807217189456163612,1483464332,1,23.95
desktop,7376293826718831934,1484108863,1,23.9
desktop,6726478899201625475,1483541553,1,23.18
desktop,5592426380056165387,1484602901,1,23.18
